train_domain	Frankel_US	Gopalakrishnan_US	Lee_Barcelona	Lee_Leeds	Lee_Manchester	Lee_PRIMM_NL	Lee_PRIMM_UK	Matson_US	Spencer_US
Frankel_US		0.512987012987013	0.22857142857142856	0.22500000000000003	0.4807692307692307	0.5123966942148761	0.5988455988455988	0.369047619047619	0.49024918743228607
Gopalakrishnan_US	0.46944444444444444		0.14285714285714285	0.45	0.5384615384615385	0.6019283746556473	0.673881673881674	0.4791666666666667	0.4257854821235103
Lee_Barcelona	0.4333333333333333	0.22727272727272724		0.65	0.423076923076923	0.33608815426997246	0.3694083694083694	0.3333333333333333	0.5606717226435536
Lee_Leeds	0.39722222222222225	0.4025974025974026	0.5428571428571429		0.2948717948717948	0.4944903581267218	0.4862914862914863	0.47916666666666663	0.5308775731310943
Lee_Manchester	0.5138888888888888	0.6103896103896104	0.4285714285714285	0.225		0.5123966942148761	0.5252525252525253	0.48511904761904756	0.43174431202600216
Lee_PRIMM_NL	0.47777777777777775	0.4545454545454546	0.34285714285714286	0.4375	0.36538461538461536		0.6825396825396826	0.5386904761904762	0.5292524377031419
Lee_PRIMM_UK	0.5166666666666667	0.7337662337662336	0.2571428571428572	0.575	0.5897435897435896	0.5826446280991735		0.4285714285714286	0.5222101841820153
Matson_US	0.375	0.5909090909090908	0.37142857142857144	0.5249999999999999	0.5512820512820512	0.43250688705234164	0.46176046176046176		0.5108342361863489
Spencer_US	0.49722222222222223	0.2922077922077922	0.5714285714285714	0.4375	0.3974358974358974	0.6074380165289256	0.5252525252525253	0.5922619047619048	
